backers,category,currency,description,goal,main_category,names,pledged,proj_details,status
1274,,$,"Efficient 18"" Wheel Covers for Tesla Model 3",50000,design,Orbital,217923,"
					Backers: 1274,
					Funding: $217,923 of $50,000 (,435% funded,),
					Campaign Dates: February 26th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
5907,games|playing cards,$,"An easy to learn, exciting and competitive general knowledge and pop culture party game.",30000,games,The Initials Game,354829,"
					Backers: 5907,
					Funding: $354,829 of $30,000 (,1182% funded,),
					Campaign Dates: March 27th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
83,design|product design,$,"An ""If you can complete this planner, you take action. If you don't take action, you can NOT complete this planner"" planner.",15000,design,Inspiration Planner,5023,"
					Backers: 83,
					Funding: $5,023 of $15,000 (,33% funded,),
					Campaign Dates: April 3rd -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
13,,,"En ""how to""-bog til professionelle der vil afvikle hashmisbrug gennem en konkret og testet metode, der skridt for skridt viser hvordan.",,publishing,Den Vigtigste Bog Du Nogensinde Har Læst Om Hashmisbrug,,"
					Backers: 13,
					Funding: kr8,846 of kr25,000 (,35% funded,),
					Campaign Dates: March 27th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
1,publishing|literary journals,€,"Estoy terminando un libro que versa sobre mis historias de amor fracasadas, los motivos de las mismas, mis penas....",4000,publishing,"Las ""S"" de mi vida",1,"
					Backers: 1,
					Funding: €1 of €4,000 (,0% funded,),
					Campaign Dates: February 26th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
24,,$,"A scenic, silver plated hard enamel pin portraying the moonrise with vibrant pink and purple hues. Help me bring it to life!",200,art,Luna Pin,227,"
					Backers: 24,
					Funding: $227 of $200 (,113% funded,),
					Campaign Dates: March 31st -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
2,fashion|apparel,€,Una linea di moda retrò che ricama e richiama le tuo passioni calcistiche dandoti la possibilità di portarle sempre con te.,5000,fashion,Art.Of.Play,2,"
					Backers: 2,
					Funding: €2 of €5,000 (,0% funded,),
					Campaign Dates: February 26th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Cancelled
2,film & video|thrillers,£,"Short film based upon a shot story by Stephen King ""In the deathroom""",5200,film & video,In the Deathroom,6,"
					Backers: 2,
					Funding: £6 of £5,200 (,0% funded,),
					Campaign Dates: February 26th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
48,,$,"Cute, anime inspired hard enamel pins",375,art,Hunter Enamel Pin Series,1804,"
					Backers: 48,
					Funding: $1,804 of $375 (,481% funded,),
					Campaign Dates: April 4th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
31,games|tabletop games,$,Handmade at home without big companies or production lines. Custom and basic dice sets as well as some special dice.,700,games,Hailee’s Dice Sets,929,"
					Backers: 31,
					Funding: $929 of $700 (,132% funded,),
					Campaign Dates: February 26th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Cancelled
9,design|product design,,"A unique adventurer watch, designed in Norway. A watch honoring my grandfather and his stories about travel.",,design,Håkon adventurer watch,,"
					Backers: 9,
					Funding: kr20,756 of kr20,000 (,103% funded,),
					Campaign Dates: April 13th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
63,games|tabletop games,€,"Fantasy 75mm miniatures collection, in High Quality resin, for collectors and painters. Sculpted and produced by Tiny Leads Miniatures",2000,games,The Middle Land,3905,"
					Backers: 63,
					Funding: €3,905 of €2,000 (,195% funded,),
					Campaign Dates: April 6th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
